playerID,year,firstName,lastName,pos,tmID,GP,G,A,Pts,SOG
gavinst01,1980,Stew,Gavin,R,TOR,14.0,1.0,2.0,3.0,13.0
geoffda01,1980,Danny,Geoffrion,R,WIN,78.0,20.0,26.0,46.0,142.0
giallma01,1980,Mario,Giallonardo,D,COR,15.0,0.0,2.0,2.0,8.0
gibsojo01,1980,John,Gibson,D,LAK,4.0,0.0,0.0,0.0,5.0
gilbegi01,1980,Gilles,Gilbert,G,DET,48.0,0.0,1.0,1.0,0.0
gilescu01,1980,Curt,Giles,D,MNS,67.0,5.0,22.0,27.0,82.0
gillicl01,1980,Clark,Gillies,L,NYI,80.0,33.0,45.0,78.0,188.0
gillije01,1980,Jere,Gillis,L,VAN,11.0,0.0,4.0,4.0,11.0
gillije01,1980,Jere,Gillis,L,NYR,35.0,10.0,10.0,20.0,63.0
gillimi01,1980,Mike,Gillis,L,COR,51.0,11.0,7.0,18.0,78.0
gillimi01,1980,Mike,Gillis,L,BOS,17.0,2.0,4.0,6.0,26.0
gingrga01,1980,Gaston,Gingras,D,MTL,55.0,5.0,16.0,21.0,133.0
goldugl01,1980,Glenn,Goldup,R,LAK,49.0,6.0,9.0,15.0,64.0
gorento01,1980,Tom,Gorence,R,PHI,79.0,24.0,18.0,42.0,165.0
gorinbu01,1980,Butch,Goring,C,NYI,78.0,23.0,37.0,60.0,152.0
gouldbo01,1980,Bobby,Gould,R,CAL,3.0,0.0,0.0,0.0,5.0
goulemi01,1980,Michel,Goulet,L,QUE,76.0,32.0,39.0,71.0,265.0
gradith01,1980,Thomas,Gradin,C,VAN,79.0,21.0,48.0,69.0,158.0
graharo02,1980,Ron,Grahame,G,LAK,6.0,0.0,0.0,0.0,0.0
graharo02,1980,Ron,Grahame,G,QUE,8.0,0.0,0.0,0.0,0.0
greenri01,1980,Rick,Green,D,WAS,65.0,8.0,23.0,31.0,120.0
grescro01,1980,Ron,Greschner,D,NYR,74.0,27.0,41.0,68.0,193.0
gretzwa01,1980,Wayne,Gretzky,C,EDM,80.0,55.0,109.0,164.0,261.0
gustabe01,1980,Bengt-Ake,Gustafsson,R,WAS,72.0,21.0,34.0,55.0,170.0
hagmama01,1980,Matti,Hagman,C,EDM,75.0,20.0,33.0,53.0,96.0
hajtbi01,1980,Bill,Hajt,D,BUF,68.0,2.0,19.0,21.0,58.0
halwado01,1980,Doug,Halward,D,LAK,51.0,4.0,15.0,19.0,74.0
halwado01,1980,Doug,Halward,D,VAN,7.0,0.0,1.0,1.0,8.0
hamelgi01,1980,Gilles,Hamel,L,BUF,51.0,10.0,9.0,19.0,56.0
hamelje01,1980,Jean,Hamel,D,DET,68.0,5.0,7.0,12.0,47.0
hamelpi01,1980,Pierre,Hamel,G,WIN,29.0,0.0,1.0,1.0,0.0
hamilji01,1980,Jim,Hamilton,R,PIT,20.0,1.0,6.0,7.0,26.0
hangsal01,1980,Al,Hangsleben,D,WAS,76.0,5.0,19.0,24.0,110.0
hanlogl01,1980,Glen,Hanlon,G,VAN,17.0,0.0,1.0,1.0,0.0
hardyma01,1980,Mark,Hardy,D,LAK,77.0,5.0,20.0,25.0,90.0
harpete01,1980,Terry,Harper,D,COR,15.0,0.0,2.0,2.0,6.0
harribi02,1980,Billy,Harris,R,LAK,80.0,20.0,29.0,49.0,150.0
harripa01,1980,Paul,Harrison,G,TOR,,,,,
hartge01,1980,Gerry,Hart,D,QUE,6.0,0.0,0.0,0.0,6.0
hartge01,1980,Gerry,Hart,D,STL,63.0,4.0,11.0,15.0,44.0
hartscr01,1980,Craig,Hartsburg,D,MNS,74.0,13.0,30.0,43.0,207.0
haworal01,1980,Alan,Haworth,C,BUF,49.0,16.0,20.0,36.0,72.0
hedbean01,1980,Anders,Hedberg,R,NYR,80.0,30.0,40.0,70.0,243.0
heinzri01,1980,Rick,Heinz,G,STL,4.0,0.0,1.0,1.0,0.0
hendear01,1980,Archie,Henderson,R,WAS,7.0,1.0,0.0,1.0,4.0
hennilo01,1980,Lorne,Henning,C,NYI,9.0,1.0,2.0,3.0,15.0
herrode01,1980,Denis,Herron,G,MTL,25.0,0.0,2.0,2.0,0.0
hessbo01,1980,Bob,Hess,D,STL,4.0,0.0,0.0,0.0,3.0
hessbo01,1980,Bob,Hess,D,BUF,,,,,
hickepa01,1980,Pat,Hickey,L,TOR,72.0,16.0,33.0,49.0,157.0
hicksdo01,1980,Doug,Hicks,D,EDM,59.0,5.0,16.0,21.0,109.0
hicksgl01,1980,Glenn,Hicks,L,DET,58.0,5.0,10.0,15.0,71.0
higgiti01,1980,Tim,Higgins,R,CHI,78.0,24.0,35.0,59.0,149.0
hillal01,1980,Al,Hill,L,PHI,57.0,10.0,15.0,25.0,70.0
hindmda01,1980,Dave,Hindmarch,R,CAL,1.0,1.0,0.0,1.0,1.0
hisloja01,1980,Jamie,Hislop,R,QUE,50.0,19.0,22.0,41.0,86.0
hisloja01,1980,Jamie,Hislop,R,CAL,29.0,6.0,9.0,15.0,31.0
hoganda01,1980,Dale,Hoganson,D,QUE,61.0,3.0,14.0,17.0,56.0
