month,name,L,OL,T,W
1982-03,Quebec Nordiques,8.0,,2.0,4.0
1982-11,Quebec Nordiques,6.0,,1.0,6.0
1982-10,Quebec Nordiques,4.0,,1.0,6.0
1982-04,St. Louis Blues,1.0,,0.0,1.0
1982-12,St. Louis Blues,8.0,,1.0,5.0
1982-02,St. Louis Blues,6.0,,3.0,3.0
1982-01,St. Louis Blues,5.0,,6.0,2.0
1982-03,St. Louis Blues,6.0,,2.0,5.0
1982-11,St. Louis Blues,7.0,,3.0,4.0
1982-10,St. Louis Blues,7.0,,0.0,5.0
1982-04,Toronto Maple Leafs,1.0,,0.0,1.0
1982-12,Toronto Maple Leafs,9.0,,2.0,2.0
1982-02,Toronto Maple Leafs,4.0,,0.0,8.0
1982-01,Toronto Maple Leafs,7.0,,3.0,6.0
1982-03,Toronto Maple Leafs,7.0,,2.0,7.0
1982-11,Toronto Maple Leafs,7.0,,1.0,2.0
1982-10,Toronto Maple Leafs,5.0,,4.0,2.0
1982-04,Vancouver Canucks,0.0,,1.0,0.0
1982-12,Vancouver Canucks,6.0,,2.0,4.0
1982-02,Vancouver Canucks,7.0,,1.0,4.0
1982-01,Vancouver Canucks,7.0,,2.0,4.0
1982-03,Vancouver Canucks,4.0,,3.0,9.0
1982-11,Vancouver Canucks,5.0,,4.0,5.0
1982-10,Vancouver Canucks,6.0,,2.0,4.0
1982-04,Washington Capitals,1.0,,0.0,1.0
1982-12,Washington Capitals,1.0,,4.0,9.0
1982-02,Washington Capitals,4.0,,2.0,6.0
1982-01,Washington Capitals,6.0,,2.0,7.0
1982-03,Washington Capitals,4.0,,2.0,8.0
1982-11,Washington Capitals,3.0,,5.0,5.0
1982-10,Washington Capitals,6.0,,1.0,3.0
1982-04,Winnipeg Jets,1.0,,0.0,1.0
1982-12,Winnipeg Jets,6.0,,2.0,6.0
1982-02,Winnipeg Jets,7.0,,1.0,5.0
1982-01,Winnipeg Jets,9.0,,3.0,4.0
1982-03,Winnipeg Jets,6.0,,0.0,7.0
1982-11,Winnipeg Jets,7.0,,1.0,4.0
1982-10,Winnipeg Jets,3.0,,1.0,6.0
1983-04,Boston Bruins,0.0,,0.0,1.0
1983-12,Boston Bruins,5.0,,1.0,10.0
1983-02,Boston Bruins,6.0,,1.0,6.0
1983-01,Boston Bruins,4.0,,0.0,9.0
1983-03,Boston Bruins,4.0,,2.0,9.0
1983-11,Boston Bruins,3.0,,1.0,7.0
1983-10,Boston Bruins,3.0,,1.0,7.0
1983-04,Buffalo Sabres,0.0,,0.0,1.0
1983-12,Buffalo Sabres,5.0,,1.0,8.0
1983-02,Buffalo Sabres,7.0,,0.0,7.0
1983-01,Buffalo Sabres,0.0,,2.0,11.0
1983-03,Buffalo Sabres,5.0,,1.0,7.0
1983-11,Buffalo Sabres,4.0,,1.0,8.0
1983-10,Buffalo Sabres,4.0,,2.0,6.0
1983-04,Calgary Flames,1.0,,0.0,0.0
1983-12,Calgary Flames,7.0,,2.0,4.0
1983-02,Calgary Flames,4.0,,2.0,9.0
1983-01,Calgary Flames,2.0,,5.0,5.0
1983-03,Calgary Flames,8.0,,1.0,6.0
1983-11,Calgary Flames,4.0,,3.0,5.0
1983-10,Calgary Flames,6.0,,1.0,5.0
1983-04,Chicago Black Hawks,0.0,,0.0,1.0
1983-12,Chicago Black Hawks,8.0,,1.0,4.0
1983-02,Chicago Black Hawks,6.0,,2.0,5.0
1983-01,Chicago Black Hawks,6.0,,3.0,5.0
1983-03,Chicago Black Hawks,9.0,,0.0,4.0
1983-11,Chicago Black Hawks,9.0,,2.0,3.0
1983-10,Chicago Black Hawks,4.0,,0.0,8.0
1983-04,Detroit Red Wings,1.0,,0.0,0.0
1983-12,Detroit Red Wings,9.0,,2.0,4.0
1983-02,Detroit Red Wings,4.0,,2.0,8.0
1983-01,Detroit Red Wings,9.0,,1.0,3.0
1983-03,Detroit Red Wings,8.0,,0.0,6.0
1983-11,Detroit Red Wings,8.0,,0.0,6.0
1983-10,Detroit Red Wings,3.0,,2.0,4.0
1983-12,Edmonton Oilers,3.0,,1.0,9.0
1983-02,Edmonton Oilers,6.0,,0.0,9.0
1983-01,Edmonton Oilers,2.0,,1.0,10.0
1983-03,Edmonton Oilers,3.0,,0.0,10.0
1983-11,Edmonton Oilers,2.0,,2.0,10.0
1983-10,Edmonton Oilers,2.0,,1.0,9.0
1983-04,Hartford Whalers,1.0,,0.0,0.0
1983-12,Hartford Whalers,9.0,,1.0,4.0
1983-02,Hartford Whalers,5.0,,1.0,7.0
1983-01,Hartford Whalers,8.0,,4.0,2.0
1983-03,Hartford Whalers,8.0,,2.0,6.0
1983-11,Hartford Whalers,6.0,,1.0,5.0
1983-10,Hartford Whalers,5.0,,1.0,4.0
1983-12,Los Angeles Kings,7.0,,1.0,6.0
1983-02,Los Angeles Kings,7.0,,2.0,4.0
1983-01,Los Angeles Kings,7.0,,4.0,2.0
1983-03,Los Angeles Kings,10.0,,1.0,4.0
1983-11,Los Angeles Kings,8.0,,1.0,5.0
1983-10,Los Angeles Kings,5.0,,4.0,2.0
1983-12,Minnesota North Stars,6.0,,1.0,6.0
1983-02,Minnesota North Stars,9.0,,2.0,4.0
1983-01,Minnesota North Stars,5.0,,0.0,9.0
1983-03,Minnesota North Stars,2.0,,4.0,8.0
1983-11,Minnesota North Stars,2.0,,2.0,9.0
1983-10,Minnesota North Stars,7.0,,1.0,3.0
1983-12,Montreal Canadiens,6.0,,1.0,7.0
